"age","ehpw","hpw","hsleep","gpa","imp","gender","job","type","marital.status"
25,17,7,8.57,41.05,"4","female","empl","par-time","single"
25,17,16,7.29,59.4,"2","male","unempl","full-time","single"
19,22,18,6.29,65.87,"5","male","unempl","full-time","single"
22,18,15,7.29,43.67,"1","male","empl","par-time","single"
23,19,15,7.14,58.67,"1","male","unempl","full-time","single"
20,21,7,8,21.14,"4","female","empl","par-time","single"
19,20,18,6.57,53.48,"4","male","unempl","full-time","single"
27,20,18,6.57,59.07,"3","male","unempl","full-time","divorced"
24,21,11,7.43,34.44,"4","female","empl","par-time","married"
19,22,14,6.86,39.69,"2","female","empl","par-time","single"
21,20,15,7,45.22,"1","male","empl","par-time","single"
33,20,11,7.57,39.73,"4","female","empl","par-time","divorced"
19,20,10,7.71,43.56,"5","female","empl","par-time","single"
29,20,20,6.29,60.62,"2","male","unempl","full-time","divorced"
26,21,16,6.71,46.07,"1","male","empl","par-time","divorced"
27,20,10,7.71,33.4,"4","female","empl","par-time","married"
18,26,12,6.57,35.37,"5","female","empl","par-time","single"
21,20,27,5.29,79.9,"1","male","unempl","full-time","single"
26,15,10,8.43,47.84,"5","female","empl","par-time","divorced"
17,19,23,6,69.7,"4","male","unempl","full-time","single"
24,21,19,6.29,55.18,"1","male","unempl","full-time","single"
25,14,20,7.14,75.89,"4","male","unempl","full-time","single"
22,23,9,7.43,21,"3","female","empl","par-time","single"
24,24,13,6.71,43.63,"3","female","empl","par-time","single"
23,20,19,6.43,61.52,"5","male","unempl","full-time","single"
29,21,2,8.71,2.6,"2","female","unempl","par-time","married"
27,15,8,8.71,34.76,"3","female","empl","par-time","married"
22,16,17,7.29,67.44,"2","male","unempl","full-time","single"
25,20,18,6.57,59.36,"1","male","unempl","full-time","single"
25,23,13,6.86,38.32,"4","female","empl","par-time","single"
22,16,16,7.43,55.44,"5","male","unempl","full-time","single"
24,14,15,7.86,51.06,"5","male","unempl","full-time","single"
20,21,22,5.86,63.86,"2","male","unempl","full-time","single"
22,19,20,6.43,69.38,"5","male","unempl","full-time","single"
21,19,13,7.43,46.31,"2","female","empl","par-time","single"
25,19,17,6.86,51.54,"4","male","unempl","full-time","single"
22,18,17,7,57.1,"5","male","unempl","full-time","single"
29,16,5,9,25.42,"2","female","empl","par-time","married"
21,23,14,6.71,35.7,"4","female","empl","par-time","single"
21,21,16,6.71,58.75,"4","male","unempl","full-time","single"
31,23,12,7,42.28,"5","female","empl","par-time","divorced"
31,19,14,7.29,51.09,"2","female","unempl","full-time","divorced"
28,24,12,6.86,32.77,"2","female","empl","par-time","married"
21,21,17,6.57,60.65,"5","male","unempl","full-time","single"
25,14,14,8,54.34,"4","female","unempl","full-time","single"
23,28,23,4.71,57.72,"3","male","unempl","full-time","single"
27,24,3,8.14,9.35,"2","female","unempl","par-time","married"
21,20,12,7.43,41.39,"5","female","empl","par-time","single"
24,16,13,7.86,55.26,"2","female","unempl","par-time","single"
18,20,25,5.57,66.87,"1","male","unempl","full-time","single"
27,17,25,6,80.72,"1","male","unempl","full-time","divorced"
17,21,21,6,67.22,"1","male","unempl","full-time","single"
22,15,12,8.14,49.68,"1","female","empl","par-time","single"
19,18,18,6.86,67.65,"2","male","unempl","full-time","single"
24,21,15,6.86,51.76,"3","male","unempl","full-time","single"
29,13,21,7.14,69.62,"2","male","unempl","full-time","divorced"
23,17,12,7.86,52.91,"5","female","unempl","par-time","single"
25,25,16,6.14,43.47,"5","male","empl","par-time","single"
24,25,9,7.14,21.51,"4","female","empl","par-time","married"
31,21,20,6.14,59.01,"3","male","unempl","full-time","divorced"
20,23,3,8.29,14.11,"3","female","unempl","par-time","single"
16,16,8,8.57,30.98,"2","female","empl","par-time","single"
27,22,14,6.86,40.22,"1","female","empl","par-time","divorced"
18,19,10,7.86,39.92,"4","female","empl","par-time","single"
24,19,16,7,44.86,"2","male","empl","par-time","single"
26,17,22,6.43,77.28,"2","male","unempl","full-time","divorced"
20,24,15,6.43,37.38,"3","male","empl","par-time","single"
27,18,17,7,59.39,"5","male","unempl","full-time","divorced"
25,17,4,9,19.12,"3","female","unempl","par-time","married"
22,16,17,7.29,70.28,"4","male","unempl","full-time","single"
24,22,25,5.29,76.42,"2","male","unempl","full-time","single"
19,22,11,7.29,33.54,"2","female","empl","par-time","single"
24,21,6,8.14,26.36,"5","female","empl","par-time","married"
24,20,20,6.29,62.61,"4","male","unempl","full-time","single"
25,25,9,7.14,21.3,"4","female","empl","par-time","married"
23,16,17,7.29,65.2,"5","male","unempl","full-time","single"
19,19,19,6.57,56.98,"4","male","unempl","full-time","single"
24,16,12,8,44.42,"3","female","empl","par-time","single"
31,18,20,6.57,69.78,"3","male","unempl","full-time","divorced"
28,21,18,6.43,54.08,"3","male","unempl","full-time","divorced"
29,15,14,7.86,51.12,"3","female","unempl","full-time","divorced"
20,18,16,7.14,52.83,"5","male","unempl","full-time","single"
18,18,10,8,41.31,"4","female","empl","par-time","single"
24,20,16,6.86,52.16,"3","male","unempl","full-time","single"
21,21,16,6.71,56.73,"1","male","unempl","full-time","single"
28,19,18,6.71,51.15,"3","male","unempl","full-time","divorced"
25,18,15,7.29,47.92,"1","male","empl","par-time","single"
27,26,6,7.43,18.22,"4","female","unempl","par-time","married"
27,21,11,7.43,47.86,"4","female","empl","par-time","divorced"
22,21,16,6.71,45.43,"4","male","empl","par-time","single"
24,21,25,5.43,74.28,"4","male","unempl","full-time","single"
26,19,22,6.14,72.84,"2","male","unempl","full-time","divorced"
22,21,23,5.71,69.85,"5","male","unempl","full-time","single"
23,20,12,7.43,43.05,"3","female","empl","par-time","single"
22,23,9,7.43,20.57,"2","female","empl","par-time","single"
22,21,16,6.71,50.03,"5","male","unempl","full-time","single"
20,12,13,8.43,48.36,"2","female","empl","par-time","single"
21,16,22,6.57,78.49,"3","male","unempl","full-time","single"
24,14,18,7.43,66.68,"4","male","unempl","full-time","single"
18,18,20,6.57,67.4,"2","male","unempl","full-time","single"
25,18,20,6.57,75.72,"1","male","unempl","full-time","single"
18,22,14,6.86,46.99,"5","female","empl","par-time","single"
27,23,17,6.29,47.52,"1","male","empl","par-time","divorced"
22,25,19,5.71,53.06,"5","male","unempl","full-time","single"
25,21,14,7,44.8,"5","female","empl","par-time","single"
24,21,15,6.86,53.45,"4","male","unempl","full-time","single"
26,22,14,6.86,34.46,"1","female","empl","par-time","married"
24,26,14,6.29,39.61,"5","female","empl","par-time","single"
24,23,12,7,30.29,"1","female","empl","par-time","married"
24,23,12,7,34.39,"2","female","empl","par-time","married"
24,21,17,6.57,53.38,"4","male","unempl","full-time","single"
28,26,9,7,27.86,"2","female","empl","par-time","married"
21,16,17,7.29,68.66,"3","male","unempl","full-time","single"
19,22,9,7.57,37.59,"3","female","empl","par-time","single"
29,24,21,5.57,73.21,"2","male","unempl","full-time","divorced"
23,18,14,7.43,46.09,"1","female","empl","par-time","single"
19,18,17,7,63.85,"3","male","unempl","full-time","single"
24,21,16,6.71,52.01,"1","male","unempl","full-time","single"
30,17,18,7,62.45,"1","male","unempl","full-time","divorced"
30,13,17,7.71,64.61,"4","male","unempl","full-time","divorced"
27,14,16,7.71,61.8,"4","male","unempl","full-time","divorced"
16,23,4,8.14,10.38,"4","female","unempl","par-time","single"
24,23,17,6.29,53.58,"1","male","unempl","full-time","single"
22,22,17,6.43,48.67,"2","male","empl","par-time","single"
24,18,21,6.43,63.17,"1","male","unempl","full-time","single"
22,25,12,6.71,35.29,"3","female","empl","par-time","single"
18,17,11,8,45.54,"4","female","empl","par-time","single"
26,17,23,6.29,79.96,"4","male","unempl","full-time","divorced"
19,17,15,7.43,48.99,"4","male","empl","par-time","single"
21,20,10,7.71,31.89,"4","female","empl","par-time","single"
21,18,16,7.14,51.4,"5","male","unempl","full-time","single"
23,22,23,5.57,66.21,"4","male","unempl","full-time","single"
23,24,24,5.14,73.33,"3","male","unempl","full-time","single"
29,17,20,6.71,73.81,"5","male","unempl","full-time","divorced"
28,18,7,8.43,31.7,"5","female","empl","par-time","married"
28,17,16,7.29,65.92,"5","male","unempl","full-time","divorced"
25,21,5,8.29,23.24,"5","female","empl","par-time","married"
24,21,14,7,45.34,"3","female","empl","par-time","single"
19,26,17,5.86,43.13,"2","male","empl","par-time","single"
30,23,14,6.71,36.14,"2","female","empl","par-time","divorced"
27,17,9,8.29,36.2,"5","female","empl","par-time","divorced"
21,15,18,7.29,70.44,"5","male","unempl","full-time","single"
24,16,10,8.29,32.08,"4","female","empl","par-time","married"
27,19,13,7.43,43.07,"3","female","empl","par-time","divorced"
21,19,12,7.57,38.63,"4","female","empl","par-time","single"
28,26,15,6.14,31.25,"1","male","empl","par-time","married"
22,21,15,6.86,46.31,"4","male","empl","par-time","single"
25,15,22,6.71,68.97,"2","male","unempl","full-time","single"
27,18,21,6.43,74.44,"1","male","unempl","full-time","divorced"
25,19,21,6.29,74.91,"4","male","unempl","full-time","single"
32,18,18,6.86,66.8,"5","male","unempl","full-time","divorced"
30,25,16,6.14,54.17,"3","male","unempl","full-time","divorced"
24,23,10,7.29,31.03,"2","female","empl","par-time","married"
22,19,24,5.86,72.29,"2","male","unempl","full-time","single"
29,19,19,6.57,58.07,"5","male","unempl","full-time","divorced"
20,19,12,7.57,43.89,"1","female","empl","par-time","single"
30,24,17,6.14,47.78,"3","male","empl","par-time","divorced"
25,27,20,5.29,48.93,"1","male","unempl","full-time","single"
23,21,12,7.29,37.07,"4","female","empl","par-time","single"
27,16,21,6.71,65.95,"3","male","unempl","full-time","divorced"
29,23,14,6.71,37.86,"3","female","empl","par-time","divorced"
18,20,17,6.71,54.02,"2","male","unempl","full-time","single"
17,21,21,6,64.07,"2","male","unempl","full-time","single"
20,18,18,6.86,59.2,"1","male","unempl","full-time","single"
27,20,27,5.29,85.86,"3","male","unempl","full-time","single"
24,21,24,5.57,68.65,"2","male","unempl","full-time","single"
29,24,17,6.14,54.43,"2","male","unempl","full-time","divorced"
20,23,14,6.71,35.5,"2","female","empl","par-time","single"
18,20,23,5.86,71.28,"5","male","unempl","full-time","single"
25,16,11,8.14,41.66,"2","female","empl","par-time","single"
26,21,24,5.57,75.46,"5","male","unempl","full-time","divorced"
27,25,17,6,52.37,"5","male","unempl","full-time","divorced"
22,20,15,7,49.53,"4","male","empl","par-time","single"
25,16,20,6.86,66.32,"1","male","unempl","full-time","single"
20,24,22,5.43,76.88,"4","male","unempl","full-time","single"
17,18,8,8.29,30.31,"1","female","empl","par-time","single"
23,17,8,8.43,27.53,"3","female","empl","par-time","married"
27,22,12,7.14,36.28,"4","female","empl","par-time","divorced"
32,19,20,6.43,67.85,"5","male","unempl","full-time","divorced"
24,20,16,6.86,50.7,"1","male","unempl","full-time","single"
23,18,22,6.29,72.61,"1","male","unempl","full-time","single"
24,20,11,7.57,38.68,"4","female","empl","par-time","single"
17,25,8,7.29,17.58,"4","female","unempl","par-time","single"
19,24,17,6.14,39.57,"3","male","empl","par-time","single"
19,24,18,6,59.25,"2","male","unempl","full-time","single"
29,17,19,6.86,69.9,"5","male","unempl","full-time","divorced"
19,22,14,6.86,43.22,"2","female","empl","par-time","single"
28,22,17,6.43,59.37,"1","male","unempl","full-time","divorced"
26,14,12,8.29,57.67,"1","female","unempl","par-time","divorced"
28,17,7,8.57,35.01,"2","female","empl","par-time","divorced"
22,18,15,7.29,48.06,"4","male","empl","par-time","single"
25,25,19,5.71,53.32,"5","male","unempl","full-time","single"
22,18,27,5.57,91.33,"5","male","unempl","full-time","single"
24,22,16,6.57,49.72,"4","male","empl","par-time","single"
19,19,15,7.14,52.45,"4","male","unempl","full-time","single"
27,20,17,6.71,58.72,"3","male","unempl","full-time","divorced"
21,19,7,8.29,26.39,"1","female","empl","par-time","single"
21,17,10,8.14,33.92,"5","female","empl","par-time","single"
22,14,10,8.57,46.02,"5","female","empl","par-time","single"
21,18,23,6.14,74.62,"4","male","unempl","full-time","single"
19,20,10,7.71,40.51,"3","female","empl","par-time","single"
25,19,21,6.29,75.65,"1","male","unempl","full-time","single"
24,22,18,6.29,60.5,"4","male","unempl","full-time","single"
23,20,21,6.14,72.91,"5","male","unempl","full-time","single"
23,22,14,6.86,47.5,"5","female","empl","par-time","single"
21,19,5,8.57,21.08,"2","female","empl","par-time","single"
28,22,17,6.43,44,"2","male","empl","par-time","divorced"
17,24,14,6.57,34.65,"5","female","empl","par-time","single"
26,21,17,6.57,49.5,"1","male","empl","par-time","divorced"
23,19,10,7.86,28.47,"1","female","empl","par-time","married"
21,21,21,6,74.01,"5","male","unempl","full-time","single"
22,19,13,7.43,46.85,"4","female","empl","par-time","single"
27,19,12,7.57,41.26,"2","female","empl","par-time","divorced"
24,20,14,7.14,49.14,"4","female","empl","par-time","single"
21,21,13,7.14,41.94,"1","female","empl","par-time","single"
24,16,6,8.86,32.56,"2","female","empl","par-time","married"
23,19,9,8,38.06,"5","female","empl","par-time","single"
20,24,17,6.14,58.31,"3","male","unempl","full-time","single"
27,21,16,6.71,50.03,"4","male","unempl","full-time","divorced"
21,20,15,7,54.87,"3","male","unempl","full-time","single"
22,20,15,7,48.56,"2","male","empl","par-time","single"
30,19,13,7.43,50.66,"2","female","unempl","par-time","divorced"
18,17,21,6.57,68.28,"2","male","unempl","full-time","single"
26,16,8,8.57,37.81,"1","female","empl","par-time","divorced"
21,19,18,6.71,57.62,"1","male","unempl","full-time","single"
23,16,15,7.57,53.41,"1","male","unempl","full-time","single"
29,20,13,7.29,47.22,"5","female","empl","par-time","divorced"
24,19,13,7.43,40.3,"5","female","empl","par-time","single"
20,21,20,6.14,55.53,"1","male","unempl","full-time","single"
26,20,6,8.29,28,"4","female","empl","par-time","married"
23,20,16,6.86,51.99,"1","male","unempl","full-time","single"
21,14,13,8.14,61.79,"4","female","unempl","par-time","single"
20,19,16,7,45.68,"2","male","empl","par-time","single"
22,21,15,6.86,48.59,"4","male","empl","par-time","single"
29,22,11,7.29,42.65,"5","female","empl","par-time","divorced"
22,18,20,6.57,65.67,"2","male","unempl","full-time","single"
21,21,12,7.29,46.63,"4","female","empl","par-time","single"
22,17,14,7.57,44.77,"1","female","empl","par-time","single"
29,18,24,6,76.98,"1","male","unempl","full-time","divorced"
24,23,8,7.57,25.96,"2","female","empl","par-time","married"
24,18,18,6.86,61.82,"5","male","unempl","full-time","single"
23,15,13,8,46.67,"3","female","empl","par-time","single"
20,25,15,6.29,46.1,"2","male","empl","par-time","single"
20,20,23,5.86,70.8,"3","male","unempl","full-time","single"
28,20,16,6.86,53,"4","male","unempl","full-time","divorced"
22,26,11,6.71,30.14,"4","female","empl","par-time","single"
20,20,18,6.57,51.72,"4","male","unempl","full-time","single"
23,18,15,7.29,48.17,"4","male","empl","par-time","single"
21,19,13,7.43,38.34,"3","female","empl","par-time","single"
16,23,11,7.14,32.02,"2","female","empl","par-time","single"
32,23,13,6.86,40.45,"3","female","empl","par-time","divorced"
30,24,23,5.29,66.92,"3","male","unempl","full-time","divorced"
21,17,14,7.57,53.39,"1","female","unempl","full-time","single"
30,24,13,6.71,36.12,"5","female","empl","par-time","divorced"
25,21,13,7.14,35.38,"1","female","empl","par-time","single"
26,19,23,6,71.24,"5","male","unempl","full-time","divorced"
18,23,16,6.43,50.6,"5","male","unempl","full-time","single"
21,23,17,6.29,51.97,"1","male","unempl","full-time","single"
22,17,15,7.43,51.48,"3","male","unempl","full-time","single"
23,18,2,9.14,12.13,"2","female","unempl","par-time","married"
21,13,11,8.57,57.03,"5","female","unempl","par-time","single"
17,14,11,8.43,43.67,"4","female","empl","par-time","single"
22,25,21,5.43,70.19,"3","male","unempl","full-time","single"
29,16,5,9,26.6,"5","female","empl","par-time","married"
20,23,14,6.71,42.04,"3","female","empl","par-time","single"
25,19,11,7.71,39.44,"4","female","empl","par-time","single"
23,19,15,7.14,44.4,"4","male","empl","par-time","single"
21,26,12,6.57,23.4,"3","female","empl","par-time","single"
24,20,7,8.14,22.76,"2","female","empl","par-time","married"
24,16,27,5.86,95.67,"5","male","unempl","full-time","single"
27,13,23,6.86,75.33,"2","male","unempl","full-time","divorced"
30,20,12,7.43,39.38,"5","female","empl","par-time","divorced"
20,17,23,6.29,72.42,"4","male","unempl","full-time","single"
23,15,17,7.43,56.88,"2","male","unempl","full-time","single"
26,17,19,6.86,59.33,"5","male","unempl","full-time","divorced"
22,19,9,8,34.39,"2","female","empl","par-time","single"
25,21,13,7.14,33.69,"5","female","empl","par-time","married"
19,20,14,7.14,40.44,"3","female","empl","par-time","single"
25,23,15,6.57,50.04,"1","male","unempl","full-time","single"
19,22,13,7,48.35,"1","female","empl","par-time","single"
22,13,7,9.14,38.46,"1","female","empl","par-time","single"
25,12,14,8.29,60.86,"5","female","unempl","full-time","single"
22,18,23,6.14,78.29,"1","male","unempl","full-time","single"
21,21,11,7.43,41.05,"2","female","empl","par-time","single"
25,17,18,7,66.27,"4","male","unempl","full-time","single"
21,15,15,7.71,54.81,"1","male","unempl","full-time","single"
27,19,13,7.43,41.4,"5","female","empl","par-time","divorced"
25,19,16,7,53.82,"1","male","unempl","full-time","single"
19,16,16,7.43,63.4,"2","male","unempl","full-time","single"
26,25,20,5.57,60.16,"1","male","unempl","full-time","divorced"
26,19,23,6,72.58,"2","male","unempl","full-time","divorced"
31,23,1,8.57,12.21,"2","female","unempl","par-time","married"
22,25,12,6.71,27.52,"1","female","empl","par-time","single"
21,24,15,6.43,49.78,"1","male","empl","par-time","single"
25,24,19,5.86,50.87,"5","male","unempl","full-time","single"
22,20,13,7.29,43.47,"1","female","empl","par-time","single"
29,23,18,6.14,57.8,"5","male","unempl","full-time","divorced"
31,19,10,7.86,42.35,"1","female","empl","par-time","divorced"
20,20,17,6.71,61.11,"3","male","unempl","full-time","single"
25,22,10,7.43,19.5,"2","female","unempl","par-time","married"
27,18,14,7.43,51.41,"5","female","unempl","full-time","divorced"
23,18,18,6.86,59.38,"1","male","unempl","full-time","single"
19,25,14,6.43,43.96,"4","female","empl","par-time","single"
21,22,5,8.14,23.75,"2","female","empl","par-time","single"
22,22,12,7.14,42.99,"3","female","empl","par-time","single"
25,19,6,8.43,21.38,"1","female","empl","par-time","married"
23,19,4,8.71,14.78,"4","female","unempl","par-time","married"
19,21,18,6.43,61.02,"5","male","unempl","full-time","single"
17,12,13,8.43,57.64,"1","female","unempl","par-time","single"
17,24,20,5.71,66.45,"5","male","unempl","full-time","single"
24,20,17,6.71,54.09,"2","male","unempl","full-time","single"
21,19,10,7.86,30.1,"1","female","empl","par-time","single"
20,22,19,6.14,59.85,"1","male","unempl","full-time","single"
27,19,19,6.57,60.53,"5","male","unempl","full-time","divorced"
28,19,25,5.71,84.71,"4","male","unempl","full-time","single"
25,19,13,7.43,46.76,"3","female","empl","par-time","single"
27,22,12,7.14,38.42,"2","female","empl","par-time","divorced"
19,22,17,6.43,49.04,"5","male","empl","par-time","single"
21,21,14,7,48.83,"3","female","empl","par-time","single"
23,20,22,6,70.22,"5","male","unempl","full-time","single"
21,23,25,5.14,71.81,"4","male","unempl","full-time","single"
25,16,12,8,41.06,"4","female","empl","par-time","single"
20,19,17,6.86,49.02,"1","male","empl","par-time","single"
23,22,20,6,60.22,"3","male","unempl","full-time","single"
19,23,15,6.57,52.58,"5","male","unempl","full-time","single"
20,21,10,7.57,35.41,"3","female","empl","par-time","single"
23,20,13,7.29,41.14,"2","female","empl","par-time","single"
22,18,14,7.43,50.13,"1","female","unempl","full-time","single"
22,20,17,6.71,50.49,"5","male","unempl","full-time","single"
26,14,15,7.86,51.48,"4","male","unempl","full-time","divorced"
20,24,10,7.14,33.7,"4","female","empl","par-time","single"
27,17,8,8.43,32.1,"3","female","empl","par-time","married"
25,16,8,8.57,38.58,"5","female","empl","par-time","single"
23,20,16,6.86,52.74,"1","male","unempl","full-time","single"
28,21,12,7.29,46.54,"1","female","empl","par-time","divorced"
29,22,11,7.29,30.65,"5","female","empl","par-time","married"
16,21,20,6.14,60.57,"5","male","unempl","full-time","single"
24,21,22,5.86,69.42,"4","male","unempl","full-time","single"
20,19,17,6.86,57.8,"3","male","unempl","full-time","single"
25,21,19,6.29,53.72,"5","male","unempl","full-time","single"
22,23,10,7.29,29.36,"5","female","empl","par-time","single"
